;prod_nome;preco_original;preco_com_desconto;prod_busca
126;Mac'n Cheese Cheddar Sadia Pote 350g;11.99;;sadia
127;Kibe Vegetal Congelado Sadia 300g;25.99;;sadia
128;Salsicha Hot Dog SADIA 500g;14.99;11.99;sadia
129;Torta com Massa de Iogurte Sadia de Frango com Palmito, Milho e Requeijão 500g;33.99;;sadia
130;Pizza de Frango com Catupiry e Mussarela SADIA 460g;19.99;;sadia
131;Pizza de Lombo com Catupiry e Mussarela SADIA 460g;19.99;;sadia
132;Kit Pizza Congelada de Mussarela Sadia + Coca-Cola Original 1,5L;27.68;;sadia
133;Mac'n Cheese Cheddar & Bacon Sadia Pote 350g;11.99;;sadia
134;Mac'n Cheese Cheddar & Calabresa Sadia Pote 350g;11.99;;sadia
135;Kit Pizza de Mussarela Sadia 440g + Coca-Cola Original 1,5L;27.68;;sadia
136;Mix de Vegetais Congelados Sadia Veg & Tal Pacote 1,05kg;20.49;;sadia
137;Peito De Frango Defumado Supreme SADIA Pacote 1Kg;49.81;;sadia
138;Kit Pizza de Mussarela Sadia 440g + Coca-Cola Original 1,5L;27.68;;sadia
139;Patê de Peito de Peru Defumado Sadia 100g;5.69;4.27;sadia
140;Presunto de Parma Fatiado SADIA 100g;29.99;;sadia
141;Batata Pré-Frita Rústica Congelada Sadia Pacote 1,05kg;24.99;;sadia
142;Batata Pré-Frita Palito Congelada Sadia Pacote 1,05kg;17.29;;sadia
143;Batata Pré-Frita Canoa Congelada Sadia Pacote 1,05kg;22.99;;sadia
144;Sanduíche Congelado X-Cheddar Cremoso Sadia Hot Pocket Pacote 145g;6.99;;sadia
145;Torta com Massa de Iogurte Recheio Brócolis com Requeijão Sadia Veg & Tal 500g;25.29;;sadia
146;Sanduíche Congelado X-Burguer Maionese Grill Sadia Hot Pocket Pacote 145g;6.99;;sadia
147;Torta com Massa de Iogurte Recheio Espinafre com Ricota Sadia Veg & Tal 500g;25.29;;sadia
148;Torta de Palmito com Requeijão Massa de Iogurte SADIA 500g;33.99;;sadia
149;Salame Italiano Fatiado Com Borda Temperada Sabor Pimenta Preta SADIA Speciale Pacote 100g;22.99;17.24;sadia
150;Peito de Peru Temperado Congelado SADIA 900g;-1.0;;sadia
151;Filezinho de Frango Sassami Orgânico Sadia 600g;-1.0;;sadia
152;Filé de Peito de Frango Congelado Orgânico sem Pele sem Osso Sadia 600g;-1.0;;sadia
153;Frangos em Cubis Temperados SADIA 400g;-1.0;;sadia
154;Sobrecoxa de Frango Congelada SADIA Pacote 1kg;-1.0;;sadia
155;Peito de Frango Cozido Congelado Desfiado Sadia Na Receita Pacote 400g;21.29;;sadia
156;Sobrecoxa de Frango Congelada Orgânica Sadia 600g;-1.0;;sadia
157;Filé de Peito de Frango Congelado Temperado sem Pele sem Osso SADIA 1kg;22.99;;sadia
158;Coxinha Da Asa De Frango SADIA Orgânica Caixa 600g;-1.0;;sadia
159;Mini Tender Bolinha SADIA 1Kg;-1.0;;sadia
160;Lombo Suíno Congelado SADIA 1,5kg;-1.0;;sadia
161;Pernil Suíno Congelado SADIA 6Kg;113.84;;sadia
162;Filé Mignon Suíno Temperado Sadia 500g;-1.0;;sadia
163;Presunto Cozido Sem Capa De Gordura SADIA Fatiado Bandeja 150g;-1.0;;sadia
164;Lombo Fácil Suíno Temperado Congelado SADIA 1,3kg;-1.0;;sadia
165;Linguiça Calabresa Defumada SADIA Bandeja 500g;-1.0;;sadia
166;Linguiça Toscana SADIA Bandeja 500g;-1.0;;sadia
167;Salame Italiano Fatiado SADIA Bandeja 100g;-1.0;;sadia
168;Salame Pepperoni Fatiado Sadia 100g;19.99;14.99;sadia
169;Presunto Cozido Livre Leve Sadia Fatiado 100g;-1.0;;sadia
170;Salame Hamburgues Fatiado SADIA Bandeja 100g;-1.0;;sadia
171;Burrito Costelinha ao Molho Barbecue Sadia Hot Pocket Pacote 112g;-1.0;;sadia
172;Couve-Flor Congelada Sadia Veg & Tal Pacote 1kg;18.79;;sadia
173;Parmegiana de Frango com Arroz e Batata SADIA Caixa 350g;-1.0;;sadia
174;Apresuntado Fatiado SADIA Bandeja 150g;-1.0;;sadia
175;Presunto Royale SADIA Fatiado Bandeja 150g;-1.0;;sadia
176;Linguiça Tipo Paio SADIA Pacote 370g;-1.0;;sadia
177;Linguiça Tipo Portuguesa SADIA Pacote 400g;-1.0;;sadia
178;Couve-Flor Congelada Sadia Veg & Tal Pacote 300g;-1.0;;sadia
179;Kibe Congelado Sadia Pouch 900g;-1.0;;sadia
180;Sanduíche Congelado Cheddar Sadia Veg & Tal Pacote 145g;-1.0;;sadia
181;Peito De Peru Defumado Fatiado SADIA Bandeja 150g;-1.0;;sadia
182;Peito De Peru Defumado Sem Casca Light SADIA Bandeja 150g;-1.0;;sadia
183;Kit Peito de Peru Sadia temperado congelado kg + Cerveja Baden Christmas 600 ml;-1.0;;sadia
184;Kit Peru manteiga Ervas Congeladas Sadia 4 kg + Cerveja Baden Ipa 600 ml;133.33;;sadia
185;Lasanha Verde à Bolonhesa SADIA 600g;16.99;;sadia
186;Mortadela Defumada Fatiada SADIA Bandeja 150g;-1.0;;sadia
187;Burrito Carne e Feijão Sadia Hot Pocket Pacote 112g;-1.0;;sadia
188;Almôndega de Carne Bovina Sadia Pouch 900g;-1.0;;sadia
189;Filé Mignon Suíno Fatiado SADIA Congelado Pacote 800g;-1.0;;sadia
190;Peru Assa Fácil! Temperado Congelado SADIA 4Kg;-1.0;;sadia
191;Compre 1 Peru SADIA + R$0,01 Leve 1 Lasanha SADIA Bolonhesa 600g;124.63;;sadia
192;Compre 1 Peru SADIA + R$0,01 Leve 1 Lasanha SADIA 4 Queijos 600g;124.63;;sadia
193;Blanquet de Peru Light Fatiado SADIA Bandeja 150g;-1.0;;sadia
194;Compre 1 Peru SADIA + R$0,01 Leve 1 Lasanha SADIA Presunto e Queijo 600g;124.63;;sadia
195;Compre 1 Peru SADIA + R$0,01 Leve 1 Lasanha SADIA Frango 600g;124.63;;sadia
196;Compre 1 Peru SADIA + R$0,01 Leve 1 Lasanha SADIA Verde 600g;124.63;;sadia
197;Compre 1 Peru SADIA + R$0,01 Leve 1 Lasanha SADIA Calabresa 600g;124.63;;sadia
198;Compre 1 Peru SADIA + R$0,01 Leve 1 Lasanha SADIA Peito de Peru 600g;124.63;;sadia
199;Batata Pré-Frita Palito Congelada Sadia Pacote 400g;7.09;;sadia
200;Lombo Suíno Fatiado SADIA Congelado Pacote 800g;-1.0;;sadia
201;Batata Pré-Frita Letrinhas Congelada Sadia Pacote 400g;-1.0;;sadia
202;Copa Lombo Suína Fatiada SADIA Congelado Pacote 800g;-1.0;;sadia
203;Batata Pré-Frita Noisette Congelada Sadia Pacote 400g;-1.0;;sadia
204;Kit Peru Temperado Congelado SADIA 3,3kg + Margarina Cremosa com Sal QUALY Pote 500g;116.63;;sadia
205;Kit Amor SADIA Contém 1 Peru Temperado 3,9kg, 1 Ave Supreme 3,6kg, 1 Copa Lombo 900g e 1 Bolsa Térmica 28 Litros;-1.0;;sadia
206;Hambúrguer Vegetariano SADIA Veg & Tal Pacote 226g;-1.0;;sadia
207;Kit Sucesso SADIA Contém Bolsa Térmica e 1 Ave Supreme;-1.0;;sadia
208;Kit Pizza de Lombo com Catupiry e Mussarela Sadia 460g + Coca-cola Sem açucar 1,5L;27.18;;sadia
209;Kit Amizade SADIA Contém 1 Peru Tradicional 1 Pernil Temperado1 Bolsa Térmica Tiracolo;-1.0;;sadia
210;Nugget Vegetal Sadia Veg & Tal Bandeja 200g;-1.0;;sadia
211;Kit Vitória SADIA Contém 1 Peru Tradicional Temperado e 1 Bolsa Térmica;-1.0;;sadia
212;Kibe Bovino SADIA Caixa 500g;29.99;;sadia
213;Kit Pizza de Lombo com Catupiry e Mussarela Sadia 460g + Coca-cola Sem açucar 1,5L;27.18;;sadia
214;Almôndegas de Carne Bovina SADIA Caixa 500g;-1.0;;sadia
215;Kit Alegria SADIA Contém 1 Bolsa Térmica, 1 Peru Tradicional Temperado e 1 Lombo Suíno Temperado;-1.0;;sadia
216;Kit 4 Cervejas EISENBAHN American IPA Garrafa 355ml + Salame Italiano Fatiado SADIA 100g;41.15;;sadia
